latitude,longtitude,depth,temperature,time
,,0.853,28.6,1782049944694
,,0.833,28.6,1782049944781
,,0.801,28.6,1782049944860
,,0.770,28.6,1782049944943
44.16167666666667,8.334821666666667,0.760,0.0,1782049945000
,,0.760,28.6,1782049945026
,,0.749,28.6,1782049945110
,,0.728,28.6,1782049945205
,,0.718,28.6,1782049945276
,,0.718,28.6,1782049945359
,,0.739,28.6,1782049945443
,,0.770,28.6,1782049945526
,,0.791,28.6,1782049945608
,,0.812,28.6,1782049945779
,,0.812,28.6,1782049945860
,,0.822,28.6,1782049945943
,,0.853,28.6,1782049946025
,,0.864,28.6,1782049946109
,,0.895,28.6,1782049946188
,,0.916,28.6,1782049946300
,,0.947,28.6,1782049946354
,,0.968,28.6,1782049946437
,,0.957,28.6,1782049946520
,,0.957,28.6,1782049946603
,,0.937,28.6,1782049946686
,,0.947,28.6,1782049946769
,,0.957,28.6,1782049946853
,,0.957,28.6,1782049946935
44.16169333333334,8.334855000000001,0.957,0.0,1782049947000
,,0.957,28.6,1782049947018
,,0.947,28.6,1782049947101
,,0.947,28.6,1782049947204
,,0.947,28.6,1782049947268
,,0.947,28.6,1782049947350
,,0.957,28.6,1782049947433
,,0.957,28.6,1782049947516
,,0.989,28.6,1782049947599
,,1.009,28.6,1782049947682
,,0.999,28.6,1782049947765
,,0.989,28.6,1782049947848
,,0.978,28.6,1782049947931
44.16170166666667,8.334858333333333,0.978,0.0,1782049948000
,,0.978,28.6,1782049948014
,,0.957,28.6,1782049948101
,,0.957,28.6,1782049948180
,,0.947,28.6,1782049948263
,,0.937,28.6,1782049948346
,,0.937,28.6,1782049948429
,,0.947,28.6,1782049948512
,,0.937,28.6,1782049948596
,,0.916,28.6,1782049948725
,,0.926,28.6,1782049948761
,,0.926,28.6,1782049948844
,,0.937,28.6,1782049948927
44.16171166666666,8.334858333333333,0.937,0.0,1782049949000
,,0.937,28.6,1782049949010
,,0.947,28.6,1782049949093
,,0.957,28.6,1782049949176
,,0.978,28.6,1782049949259
,,0.989,28.6,1782049949342
,,0.978,28.6,1782049949425
,,0.968,28.6,1782049949508
,,0.968,28.6,1782049949675
,,0.978,28.6,1782049949758
,,0.957,28.6,1782049949842
,,0.947,28.6,1782049949925
44.16170999999999,8.334856666666667,0.937,0.0,1782049950000
,,0.937,28.6,1782049950008
,,0.926,28.6,1782049950091
,,0.905,28.6,1782049950213
,,0.874,28.6,1782049950258
,,0.853,28.6,1782049950340
,,0.822,28.6,1782049950424
,,0.812,28.6,1782049950508
,,0.822,28.6,1782049950587
,,0.822,28.6,1782049950670
,,0.801,28.6,1782049950753
,,0.801,28.6,1782049950836
,,0.801,28.6,1782049950919
,,0.801,28.6,1782049951002
,,0.801,28.6,1782049951102
,,0.791,28.6,1782049951168
,,0.791,28.6,1782049951258
,,0.822,28.6,1782049951462
,,0.853,28.6,1782049951462
,,0.864,28.6,1782049951500
,,0.885,28.6,1782049951769
,,0.874,28.6,1782049951780
,,0.874,28.6,1782049951797
,,0.864,28.6,1782049951873
,,0.853,28.6,1782049951917
,,0.833,28.6,1782049952000
,,0.822,28.6,1782049952081
,,0.822,28.6,1782049952164
,,0.812,28.6,1782049952248
,,0.791,28.6,1782049952330
,,0.760,28.6,1782049952412
,,0.728,28.6,1782049952496
,,0.697,28.6,1782049952662
,,0.708,28.6,1782049952745
,,0.718,28.6,1782049952900
,,0.728,28.6,1782049952924
44.16175333333334,8.334936666666666,0.739,0.0,1782049953000
,,0.739,28.6,1782049953012
,,0.760,28.6,1782049953100
,,0.749,28.6,1782049953243
,,0.760,28.6,1782049953510
,,0.781,28.6,1782049953533
,,0.812,28.6,1782049953574
,,0.833,28.6,1782049953715
,,0.864,28.6,1782049953741
,,0.885,28.4,1782049953903
,,0.885,28.4,1782049953923
,,0.885,28.4,1782049953990
44.16175166666667,8.334931666666668,0.874,0.0,1782049954000
